Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
2020-01-03 13:00:00,7340.46000000,7380.00000000,7229.30000000,7320.18000000,10578.98552900,2020-01-03 16:59:59,77205179.37214706,82061,5477.11560500,39987752.67539163,0
2020-01-03 17:00:00,7320.17000000,7405.00000000,7280.00000000,7343.08000000,11735.08447700,2020-01-03 20:59:59,86285226.37848328,86220,6096.29414400,44839145.24004635,0
2020-01-03 21:00:00,7343.62000000,7361.00000000,7260.01000000,7344.96000000,5894.34393000,2020-01-04 00:59:59,43097315.75582422,59023,3200.72558100,23407377.81061626,0
2020-01-04 01:00:00,7345.00000000,7350.00000000,7280.85000000,7333.11000000,3693.78483500,2020-01-04 04:59:59,27020741.04698006,40064,1869.49499700,13677299.23559031,0
2020-01-04 05:00:00,7333.14000000,7369.28000000,7312.65000000,7348.11000000,4519.54989100,2020-01-04 08:59:59,33194990.95123276,41378,2399.91059700,17626716.73224263,0
2020-01-04 09:00:00,7348.04000000,7369.63000000,7302.10000000,7336.45000000,5684.86006500,2020-01-04 12:59:59,41742234.41284417,46855,3133.34019300,23009073.35286105,0
2020-01-04 13:00:00,7336.75000000,7339.58000000,7291.00000000,7318.99000000,4424.83328600,2020-01-04 16:59:59,32360609.80976774,43428,2557.99174400,18708712.94251706,0
2020-01-04 17:00:00,7318.98000000,7404.00000000,7272.21000000,7334.83000000,8358.35610800,2020-01-04 20:59:59,61270034.59402405,68263,4590.65141400,33660335.83118941,0
2020-01-04 21:00:00,7334.89000000,7367.31000000,7310.67000000,7354.11000000,3306.59079200,2020-01-05 00:59:59,24285630.12509933,39382,1817.99330300,13352973.62967119,0
2020-01-05 01:00:00,7354.19000000,7482.87000000,7354.11000000,7475.99000000,11311.44984600,2020-01-05 04:59:59,84134360.45508217,82614,6254.11202800,46507627.70152020,0
2020-01-05 05:00:00,7476.00000000,7495.00000000,7437.40000000,7463.63000000,4866.90592800,2020-01-05 08:59:59,36313085.05456346,41032,2487.11631200,18557703.36575589,0
2020-01-05 09:00:00,7463.64000000,7472.00000000,7400.00000000,7422.33000000,5665.07725800,2020-01-05 12:59:59,42066779.49595185,47559,2881.11857000,21394399.72981228,0
