Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
2020-01-04 09:00:00,0.00186800,0.00188700,0.00186570,0.00187730,198347.21000000,2020-01-04 12:59:59,372.72181548,7056,121093.78000000,227.61529053,0
2020-01-04 13:00:00,0.00187730,0.00187990,0.00186650,0.00187250,63363.99000000,2020-01-04 16:59:59,118.71194064,4571,20934.93000000,39.19746324,0
2020-01-04 17:00:00,0.00187350,0.00187860,0.00187100,0.00187300,64132.95000000,2020-01-04 20:59:59,120.19036246,4988,30595.50000000,57.34972707,0
2020-01-04 21:00:00,0.00187320,0.00188060,0.00186700,0.00187640,233203.30000000,2020-01-05 00:59:59,437.34145849,5693,78965.45000000,148.11845517,0
2020-01-05 01:00:00,0.00187630,0.00187750,0.00186410,0.00187650,210697.86000000,2020-01-05 04:59:59,394.57954621,5716,102002.09000000,191.04707041,0
2020-01-05 05:00:00,0.00187630,0.00189400,0.00187060,0.00189000,118823.64000000,2020-01-05 08:59:59,223.43921398,7010,47252.08000000,88.92462695,0
2020-01-05 09:00:00,0.00189000,0.00189060,0.00187860,0.00188390,90315.15000000,2020-01-05 12:59:59,170.15965153,5269,36997.03000000,69.70963919,0
2020-01-05 13:00:00,0.00188450,0.00191290,0.00188400,0.00190740,189075.62000000,2020-01-05 16:59:59,359.60074865,7760,93844.75000000,178.50828271,0
2020-01-05 17:00:00,0.00190770,0.00191680,0.00190150,0.00191190,273239.94000000,2020-01-05 20:59:59,521.88396120,7257,128955.63000000,246.32113976,0
2020-01-05 21:00:00,0.00191160,0.00191310,0.00189500,0.00190870,174423.79000000,2020-01-06 00:59:59,332.17943438,5557,83335.94000000,158.69205462,0
2020-01-06 01:00:00,0.00190880,0.00191580,0.00190010,0.00191000,303746.81000000,2020-01-06 04:59:59,579.79887118,8208,205940.70000000,393.16611132,0
2020-01-06 05:00:00,0.00190960,0.00191500,0.00190250,0.00191240,134982.96000000,2020-01-06 08:59:59,257.84313103,5248,76215.33000000,145.60878403,0
2020-01-06 09:00:00,0.00191300,0.00195500,0.00190780,0.00194770,145040.73000000,2020-01-06 12:59:59,279.96983955,12634,78097.26000000,150.79189373,0
2020-01-06 13:00:00,0.00194830,0.00195920,0.00192970,0.00192970,139843.45000000,2020-01-06 16:59:59,271.79986437,9348,67369.12000000,130.99895383,0
2020-01-06 17:00:00,0.00192970,0.00194920,0.00192960,0.00194470,140318.77000000,2020-01-06 20:59:59,272.46032301,7083,72340.81000000,140.45072038,0
2020-01-06 21:00:00,0.00194520,0.00195600,0.00191230,0.00192770,226098.63000000,2020-01-07 00:59:59,436.88823883,12657,89900.44000000,173.83685942,0
2020-01-07 01:00:00,0.00192690,0.00192800,0.00189010,0.00189630,253898.98000000,2020-01-07 04:59:59,483.12656298,13723,124397.67000000,236.72688861,0
2020-01-07 05:00:00,0.00189550,0.00189640,0.00187710,0.00188590,94771.20000000,2020-01-07 08:59:59,178.70182593,6880,37448.30000000,70.61726736,0
2020-01-07 09:00:00,0.00188600,0.00189140,0.00187520,0.00188120,58087.87000000,2020-01-07 12:59:59,109.43056754,6058,28090.08000000,52.92442218,0
2020-01-07 13:00:00,0.00188180,0.00188290,0.00185810,0.00186810,88375.05000000,2020-01-07 16:59:59,165.04374642,9723,39971.03000000,74.65546990,0
2020-01-07 17:00:00,0.00186800,0.00188350,0.00184330,0.00185910,123470.03000000,2020-01-07 20:59:59,229.89442781,13355,58878.10000000,109.68106661,0
2020-01-07 21:00:00,0.00185910,0.00186610,0.00183320,0.00184310,80363.36000000,2020-01-08 00:59:59,148.53043774,9722,42125.49000000,77.88481738,0
2020-01-08 01:00:00,0.00184370,0.00184370,0.00178580,0.00180480,265553.18000000,2020-01-08 04:59:59,480.03909773,17557,115345.04000000,208.38779360,0
2020-01-08 05:00:00,0.00180480,0.00182020,0.00179740,0.00179830,53947.13000000,2020-01-08 08:59:59,97.43607497,6571,28631.42000000,51.74195815,0
2020-01-08 09:00:00,0.00179860,0.00180640,0.00179190,0.00179830,64975.74000000,2020-01-08 12:59:59,116.98613455,5538,31989.53000000,57.60641006,0
2020-01-08 13:00:00,0.00179830,0.00179850,0.00175500,0.00177040,144999.24000000,2020-01-08 16:59:59,257.98181808,11805,63363.89000000,112.75152412,0
