Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
2021-04-24 06:00:00,50109.92000000,50631.16000000,49649.70000000,49805.20000000,7461.85993400,2021-04-24 09:59:59,374310740.83727197,160703,3700.64473900,185596427.53282055,0
2021-04-24 10:00:00,49798.96000000,50217.89000000,48657.14000000,49073.71000000,11991.55327000,2021-04-24 13:59:59,591776278.43913099,263286,5519.54757500,272360046.25535830,0
2021-04-24 14:00:00,49072.12000000,50360.63000000,48900.00000000,50212.03000000,12218.30157600,2021-04-24 17:59:59,605134565.73400460,216616,5555.61484100,275141020.33166365,0
2021-04-24 18:00:00,50210.01000000,50888.00000000,49650.00000000,50667.75000000,6999.06978200,2021-04-24 21:59:59,352040584.41647194,173074,3609.99965800,181550937.80416392,0
2021-04-24 22:00:00,50667.79000000,51000.00000000,49900.00000000,50047.84000000,6100.10041500,2021-04-25 01:59:59,308644222.38460864,150255,3115.87819800,157671689.72233356,0
2021-04-25 02:00:00,50047.84000000,50452.85000000,49600.00000000,49615.54000000,6421.00871300,2021-04-25 05:59:59,321413769.80197329,127917,3291.66894200,164803285.50893402,0
2021-04-25 06:00:00,49626.76000000,49705.04000000,49600.24000000,49683.94000000,5.88703400,2021-04-25 06:00:58,292226.01345715,224,4.22924500,209956.01047409,0
2021-04-25 10:00:00,49683.95000000,50280.00000000,49161.94000000,49550.73000000,10523.72690600,2021-04-25 13:59:59,521764471.26820163,274159,5388.76875300,267100195.82279548,0
2021-04-25 14:00:00,49550.74000000,50567.91000000,49450.00000000,50257.97000000,10588.50125500,2021-04-25 17:59:59,529768203.87670160,256965,4942.09208500,247301738.27568634,0
2021-04-25 18:00:00,50257.97000000,50434.00000000,49295.09000000,49333.01000000,8232.07500600,2021-04-25 21:59:59,410376008.77636428,306064,4173.66027300,208078574.78371161,0
2021-04-25 22:00:00,49333.01000000,49593.18000000,46930.00000000,49066.77000000,22484.44609000,2021-04-26 01:59:59,1084243635.45062163,510150,9966.91209600,480427121.12656493,0
2021-04-26 02:00:00,49066.76000000,52500.00000000,48753.44000000,52398.99000000,21323.43699600,2021-04-26 05:59:59,1092800209.91914354,398377,11185.72007000,572932445.48224889,0
2021-04-26 06:00:00,52398.99000000,53080.00000000,52000.00000000,52801.37000000,12982.59522900,2021-04-26 09:59:59,682297812.39058275,346240,6665.34509700,350319745.61298647,0
2021-04-26 10:00:00,52801.37000000,53685.00000000,52275.00000000,53598.39000000,13057.44546400,2021-04-26 13:59:59,693392592.88273155,325033,6644.56449100,352846109.59235304,0
2021-04-26 14:00:00,53598.39000000,53950.00000000,53200.00000000,53571.12000000,12487.79422400,2021-04-26 17:59:59,669355826.65036902,360922,5702.60855400,305665234.75885661,0
2021-04-26 18:00:00,53571.13000000,54356.62000000,52868.07000000,54036.19000000,13564.51584100,2021-04-26 21:59:59,729630997.97354850,362520,6459.25857100,347375072.51786960,0
